index,category,definition,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
123,food_drink,meat,0.04,0.06,0.11,0.18,0.22,0.24,0.29,0.37,0.45,0.47,0.6,0.55,0.7,0.6,0.74
124,food_drink,melon,0.03,0.02,0.08,0.12,0.16,0.2,0.22,0.3,0.31,0.35,0.46,0.46,0.56,0.46,0.62
125,food_drink,milk,0.34,0.43,0.57,0.72,0.67,0.72,0.79,0.88,0.86,0.87,0.93,0.93,0.97,0.96,0.97
126,food_drink,muffin,0.02,0.04,0.09,0.14,0.21,0.2,0.35,0.33,0.43,0.42,0.51,0.56,0.69,0.67,0.74
127,food_drink,noodles,0.09,0.09,0.21,0.26,0.31,0.38,0.47,0.49,0.56,0.56,0.66,0.65,0.8,0.69,0.86
128,food_drink,nuts,0.01,0.03,0.05,0.11,0.13,0.17,0.17,0.27,0.35,0.34,0.51,0.47,0.61,0.62,0.71
129,food_drink,orange (food),0.07,0.11,0.22,0.33,0.34,0.4,0.53,0.6,0.62,0.66,0.79,0.78,0.9,0.87,0.94
130,food_drink,pancake,0.05,0.07,0.17,0.23,0.23,0.26,0.42,0.5,0.55,0.58,0.64,0.72,0.8,0.73,0.89
131,food_drink,peas,0.12,0.09,0.21,0.29,0.28,0.3,0.37,0.47,0.53,0.54,0.65,0.61,0.73,0.65,0.81
132,food_drink,peanut butter,0.03,0.06,0.12,0.22,0.19,0.28,0.41,0.44,0.5,0.58,0.61,0.71,0.82,0.75,0.86
133,food_drink,pickle,0.02,0.05,0.13,0.17,0.17,0.19,0.3,0.4,0.4,0.49,0.56,0.54,0.69,0.64,0.74
134,food_drink,pizza,0.09,0.14,0.31,0.37,0.46,0.47,0.62,0.71,0.74,0.78,0.85,0.89,0.94,0.88,0.96
135,food_drink,popcorn,0.04,0.08,0.18,0.23,0.28,0.33,0.39,0.44,0.58,0.63,0.71,0.69,0.84,0.76,0.9
136,food_drink,popsicle,0.03,0.05,0.13,0.15,0.19,0.26,0.34,0.35,0.42,0.51,0.57,0.64,0.73,0.71,0.78
137,food_drink,potato chip,0.04,0.08,0.18,0.24,0.24,0.31,0.35,0.46,0.51,0.6,0.68,0.64,0.84,0.73,0.86
138,food_drink,potato,0.03,0.06,0.11,0.18,0.2,0.22,0.41,0.42,0.47,0.51,0.58,0.61,0.78,0.73,0.78
139,food_drink,pretzel,0.04,0.05,0.12,0.17,0.19,0.18,0.33,0.34,0.43,0.44,0.46,0.5,0.75,0.59,0.78
140,food_drink,pudding,0.01,0.02,0.06,0.07,0.09,0.09,0.18,0.17,0.26,0.31,0.35,0.34,0.54,0.46,0.61
141,food_drink,pumpkin,0.04,0.05,0.14,0.18,0.21,0.25,0.32,0.39,0.47,0.47,0.56,0.57,0.74,0.65,0.81
142,food_drink,raisin,0.05,0.07,0.19,0.26,0.27,0.3,0.47,0.47,0.56,0.61,0.69,0.71,0.81,0.76,0.88
143,food_drink,salt,0.01,0.01,0.03,0.06,0.09,0.11,0.21,0.17,0.26,0.3,0.35,0.43,0.56,0.5,0.61
144,food_drink,sandwich,0.02,0.03,0.1,0.18,0.19,0.23,0.37,0.44,0.49,0.56,0.61,0.72,0.85,0.79,0.88
145,food_drink,sauce,0.02,0.01,0.05,0.08,0.15,0.11,0.26,0.25,0.33,0.29,0.38,0.39,0.59,0.57,0.64
146,food_drink,soda/pop,0.05,0.07,0.14,0.18,0.22,0.27,0.32,0.37,0.39,0.45,0.53,0.51,0.72,0.59,0.64
147,food_drink,soup,0.04,0.05,0.14,0.18,0.28,0.28,0.41,0.47,0.48,0.56,0.58,0.65,0.76,0.69,0.81
148,food_drink,spaghetti,0.05,0.08,0.15,0.19,0.23,0.27,0.35,0.46,0.55,0.57,0.68,0.68,0.83,0.75,0.88
149,food_drink,strawberry,0.06,0.09,0.17,0.21,0.26,0.34,0.44,0.5,0.54,0.61,0.67,0.65,0.8,0.8,0.86
150,food_drink,toast,0.12,0.12,0.23,0.3,0.35,0.33,0.47,0.54,0.58,0.59,0.68,0.72,0.84,0.72,0.87
151,food_drink,tuna,0.01,0.02,0.05,0.04,0.06,0.1,0.2,0.17,0.17,0.25,0.32,0.36,0.43,0.34,0.44
152,food_drink,vanilla,0,0,0.02,0.03,0.05,0.05,0.08,0.1,0.12,0.19,0.19,0.3,0.35,0.35,0.45
153,food_drink,vitamins,0.02,0.05,0.06,0.12,0.14,0.14,0.22,0.28,0.33,0.41,0.49,0.51,0.61,0.59,0.66
154,food_drink,water (beverage),0.3,0.32,0.48,0.57,0.63,0.61,0.75,0.8,0.83,0.86,0.89,0.95,0.95,0.92,0.95
155,food_drink,yogurt,0.08,0.15,0.27,0.32,0.34,0.37,0.52,0.54,0.57,0.61,0.62,0.71,0.75,0.74,0.87
156,clothing,beads,0.05,0.06,0.09,0.12,0.15,0.17,0.21,0.27,0.28,0.3,0.32,0.3,0.49,0.43,0.57
157,clothing,belt,0.04,0.04,0.12,0.18,0.2,0.23,0.29,0.36,0.42,0.47,0.53,0.56,0.71,0.59,0.76
158,clothing,bib,0.13,0.16,0.3,0.3,0.35,0.35,0.5,0.5,0.57,0.62,0.67,0.63,0.8,0.64,0.76
159,clothing,boots,0.1,0.14,0.26,0.31,0.42,0.45,0.59,0.65,0.65,0.69,0.7,0.77,0.86,0.84,0.88
160,clothing,button,0.18,0.15,0.29,0.38,0.39,0.39,0.55,0.62,0.63,0.66,0.72,0.69,0.89,0.77,0.91
161,clothing,coat,0.09,0.16,0.25,0.36,0.39,0.43,0.57,0.7,0.66,0.68,0.71,0.78,0.82,0.81,0.9
162,clothing,diaper,0.28,0.32,0.49,0.55,0.53,0.68,0.7,0.8,0.81,0.88,0.87,0.87,0.96,0.92,0.96
163,clothing,dress,0.05,0.05,0.11,0.18,0.21,0.25,0.36,0.41,0.48,0.48,0.62,0.57,0.74,0.66,0.8
164,clothing,gloves,0.01,0.04,0.06,0.09,0.13,0.14,0.25,0.3,0.36,0.41,0.46,0.48,0.62,0.56,0.66
165,clothing,hat,0.32,0.37,0.54,0.62,0.67,0.68,0.78,0.85,0.85,0.87,0.92,0.89,0.96,0.93,0.95
166,clothing,jacket,0.06,0.09,0.18,0.27,0.29,0.34,0.45,0.49,0.57,0.64,0.66,0.76,0.82,0.76,0.82
167,clothing,jeans,0.02,0.03,0.05,0.09,0.12,0.16,0.22,0.24,0.34,0.37,0.4,0.43,0.6,0.54,0.65
168,clothing,mittens,0.03,0.02,0.1,0.11,0.17,0.2,0.22,0.28,0.36,0.38,0.43,0.5,0.55,0.55,0.63
169,clothing,necklace,0.04,0.09,0.13,0.19,0.19,0.26,0.3,0.4,0.46,0.48,0.54,0.56,0.75,0.63,0.75
170,clothing,pajamas,0.06,0.08,0.2,0.23,0.3,0.33,0.45,0.62,0.6,0.69,0.73,0.77,0.87,0.83,0.92
171,clothing,pants,0.07,0.11,0.24,0.33,0.36,0.47,0.58,0.67,0.69,0.74,0.78,0.86,0.92,0.89,0.97
172,clothing,scarf,0,0,0.03,0.04,0.07,0.09,0.14,0.12,0.15,0.17,0.2,0.21,0.35,0.33,0.42
173,clothing,shirt,0.09,0.16,0.29,0.37,0.42,0.47,0.65,0.69,0.72,0.75,0.8,0.84,0.93,0.86,0.96
174,clothing,shoe,0.51,0.6,0.76,0.84,0.87,0.8,0.92,0.95,0.93,0.94,0.96,0.97,0.98,0.97,0.98
175,clothing,shorts,0.04,0.05,0.1,0.17,0.18,0.23,0.33,0.43,0.47,0.55,0.65,0.71,0.82,0.73,0.81
176,clothing,slipper,0.03,0.02,0.09,0.13,0.14,0.21,0.3,0.37,0.38,0.39,0.51,0.48,0.7,0.57,0.67
177,clothing,sneaker,0.01,0.02,0.04,0.09,0.11,0.1,0.2,0.18,0.2,0.3,0.3,0.36,0.47,0.39,0.48
178,clothing,snowsuit,0,0.01,0.02,0.02,0.02,0.05,0.09,0.09,0.1,0.14,0.18,0.18,0.26,0.2,0.26
179,clothing,sock,0.3,0.22,0.44,0.48,0.46,0.44,0.5,0.6,0.71,0.75,0.82,0.78,0.95,0.79,0.9
180,clothing,sweater,0.07,0.19,0.2,0.29,0.36,0.39,0.53,0.62,0.52,0.54,0.63,0.65,0.68,0.75,0.81
181,clothing,tights,0.01,0.01,0.03,0.02,0.07,0.06,0.15,0.11,0.17,0.2,0.3,0.23,0.33,0.33,0.43
182,clothing,underpants,0.01,0.01,0.04,0.07,0.09,0.12,0.17,0.21,0.26,0.34,0.48,0.49,0.61,0.58,0.7
183,clothing,zipper,0.03,0.05,0.15,0.24,0.23,0.28,0.39,0.46,0.5,0.59,0.64,0.61,0.77,0.67,0.82
184,body_parts,ankle,0,0.01,0.04,0.07,0.09,0.12,0.12,0.18,0.19,0.25,0.29,0.3,0.49,0.36,0.5
185,body_parts,arm,0.08,0.18,0.25,0.36,0.38,0.5,0.57,0.7,0.72,0.75,0.81,0.81,0.93,0.89,0.96
186,body_parts,belly button,0.22,0.3,0.39,0.48,0.54,0.57,0.67,0.73,0.74,0.77,0.82,0.83,0.91,0.83,0.95
187,body_parts,buttocks/bottom*,0.09,0.14,0.27,0.36,0.37,0.48,0.55,0.63,0.68,0.75,0.78,0.8,0.91,0.83,0.9
188,body_parts,cheek,0.06,0.11,0.2,0.29,0.33,0.4,0.55,0.53,0.6,0.66,0.68,0.78,0.84,0.79,0.86
189,body_parts,chin,0.05,0.05,0.18,0.28,0.29,0.33,0.49,0.49,0.56,0.61,0.72,0.7,0.83,0.8,0.84
190,body_parts,ear,0.31,0.45,0.59,0.7,0.7,0.74,0.84,0.92,0.86,0.89,0.92,0.95,0.97,0.95,0.97
191,body_parts,eye,0.43,0.47,0.67,0.73,0.74,0.73,0.83,0.9,0.92,0.92,0.95,0.94,0.99,0.96,0.98
192,body_parts,face,0.05,0.06,0.16,0.26,0.24,0.32,0.44,0.52,0.59,0.61,0.77,0.72,0.86,0.79,0.88
193,body_parts,finger,0.07,0.19,0.28,0.38,0.43,0.51,0.6,0.72,0.74,0.75,0.83,0.84,0.91,0.88,0.96
194,body_parts,foot,0.14,0.15,0.4,0.44,0.46,0.48,0.63,0.72,0.76,0.84,0.87,0.91,0.95,0.9,0.97
195,body_parts,hair,0.21,0.27,0.45,0.55,0.59,0.66,0.73,0.83,0.82,0.85,0.88,0.92,0.97,0.93,0.96
196,body_parts,hand,0.11,0.15,0.29,0.39,0.49,0.56,0.66,0.77,0.74,0.81,0.85,0.89,0.95,0.93,0.95
