"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"66.0","172","9","157","52266","full",1
"69.0","223","9","117","40283","full",1
"12","0","0","180","15597","gentle",0
"15.0","0","0","87","33500","gentle",0
"18.0","35","3","243","84684","gentle",0.602059991327962
"21.0","12","2","297","164518","gentle",0.477121254719662
"24.0","17","5","456","284427","gentle",0.778151250383644
"27.0","2","1","616","402831","gentle",0.301029995663981
"30.0","4","2","486","406497","gentle",0.477121254719662
"33.0","15","5","361","332325","gentle",0.778151250383644
"36.0","4","1","250","242145","gentle",0.301029995663981
"39.0","5","1","236","189088","gentle",0.301029995663981
"42.0","0","0","215","156791","gentle",0
"45.0","0","0","249","156558","gentle",0
"48.0","0","0","221","140589","gentle",0
"51.0","0","0","154","112895","gentle",0
"54.0","0","0","173","385725","gentle",0
"57.0","0","0","182","113300","gentle",0
"60.0","0","0","120","80352","gentle",0
"63.0","0","0","108","48940","gentle",0
"66.0","0","0","157","52266","gentle",0
"69.0","0","0","117","40283","gentle",0
"12","192","3","180","15597","good",0.602059991327962
"15.0","208","7","87","33500","good",0.903089986991944
"18.0","944","80","243","84684","good",1.90848501887865
"21.0","1106","182","297","164518","good",2.26245108973043
"24.0","1002","285","456","284427","good",2.45636603312904
"27.0","878","354","616","402831","good",2.55022835305509
"30.0","974","396","486","406497","good",2.59879050676312
"33.0","869","289","361","332325","good",2.46239799789896
"36.0","1053","255","250","242145","good",2.40823996531185
"39.0","1237","234","236","189088","good",2.37106786227174
"42.0","1390","218","215","156791","good",2.34044411484012
"45.0","1462","229","249","156558","good",2.36172783601759
"48.0","1550","218","221","140589","good",2.34044411484012
"51.0","1567","177","154","112895","good",2.25042000230889
"54.0","1666","643","173","385725","good",2.80888586735981
"57.0","1579","179","182","113300","good",2.25527250510331
"60.0","1418","114","120","80352","good",2.06069784035361
"63.0","2002","98","108","48940","good",1.99563519459755
"66.0","1913","100","157","52266","good",2.00432137378264
"69.0","1663","67","117","40283","good",1.83250891270624
"12","256","4","180","15597","green",0.698970004336019
"15.0","716","24","87","33500","green",1.39794000867204
"18.0","944","80","243","84684","green",1.90848501887865
"21.0","990","163","297","164518","green",2.2148438480477
"24.0","1824","519","456","284427","green",2.7160033436348
"27.0","1323","533","616","402831","green",2.72754125702856
"30.0","1131","460","486","406497","green",2.66370092538965
"33.0","634","211","361","332325","green",2.32633586092875
"36.0","1321","320","250","242145","green",2.50650503240487
"39.0","454","86","236","189088","green",1.93951925261862
"42.0","599","94","215","156791","green",1.97772360528885
"45.0","645","101","249","156558","green",2.00860017176192
"48.0","476","67","221","140589","green",1.83250891270624
"51.0","761","86","154","112895","green",1.93951925261862
"54.0","637","246","173","385725","green",2.39269695325967
"57.0","467","53","182","113300","green",1.73239375982297
"60.0","821","66","120","80352","green",1.82607480270083
"63.0","572","28","108","48940","green",1.46239799789896
"66.0","612","32","157","52266","green",1.51851393987789
"69.0","422","17","117","40283","green",1.25527250510331
"12","128","2","180","15597","happy",0.477121254719662
"15.0","59","2","87","33500","happy",0.477121254719662
"18.0","519","44","243","84684","happy",1.65321251377534
"21.0","340","56","297","164518","happy",1.75587485567249
"24.0","316","90","456","284427","happy",1.95904139232109
"27.0","399","161","616","402831","happy",2.20951501454263
"30.0","403","164","486","406497","happy",2.21748394421391
"33.0","469","156","361","332325","happy",2.19589965240923
"36.0","512","124","250","242145","happy",2.09691001300806
"39.0","185","35","236","189088","happy",1.55630250076729
"42.0","204","32","215","156791","happy",1.51851393987789
"45.0","172","27","249","156558","happy",1.44715803134222
"48.0","270","38","221","140589","happy",1.5910646070265
"51.0","256","29","154","112895","happy",1.47712125471966
"54.0","171","66","173","385725","happy",1.82607480270083
"57.0","88","10","182","113300","happy",1.04139268515823
"60.0","74","6","120","80352","happy",0.845098040014257
"63.0","122","6","108","48940","happy",0.845098040014257
"66.0","57","3","157","52266","happy",0.602059991327962
"69.0","148","6","117","40283","happy",0.845098040014257
"12","64","1","180","15597","hard",0.301029995663981
"15.0","0","0","87","33500","hard",0
"18.0","11","1","243","84684","hard",0.301029995663981
"21.0","267","44","297","164518","hard",1.65321251377534
"24.0","369","105","456","284427","hard",2.02530586526477
"27.0","238","96","616","402831","hard",1.98677173426624
"30.0","201","82","486","406497","hard",1.91907809237607
"33.0","252","84","361","332325","hard",1.92941892571429
"36.0","173","42","250","242145","hard",1.63346845557959
"39.0","216","41","236","189088","hard",1.6232492903979
"42.0","287","45","215","156791","hard",1.66275783168157
"45.0","364","57","249","156558","hard",1.76342799356294
"48.0","412","58","221","140589","hard",1.77085201164214
